Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,113,113,30002.586800022982,30013.898221236053,30002.586800022982,30031.58640000038,0.0,0.3807230258061862,0.3807230258061862,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /rest/products,235,235,30002.043800079264,30014.425537874427,30002.043800079264,30032.96360000968,0.0,0.7917691244641927,0.7917691244641927,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /rest/products/:id,24,24,30002.345300046727,30015.654241671047,30002.345300046727,30032.51079993788,0.0,0.08086152760485371,0.08086152760485371,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /rest/products/search,78,78,30001.745600020513,30014.419706418917,30001.745600020513,30032.94659999665,0.0,0.2627999647157746,0.2627999647157746,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,450,450,30001.745600020513,30014.35764289095,30001.745600020513,30032.96360000968,0.0,1.5161536425910072,1.5161536425910072,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
