Method,Name,Error,Occurrences
GET,GET /rest/products/search,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",409
GET,GET /,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",602
GET,GET /rest/products,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",1019
GET,GET /rest/products/:id,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",184
