Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,602,602,30001.78210006561,30014.817721595646,30001.78210006561,30038.485399913043,0.0,1.0048456457903006,1.0048456457903006,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /rest/products,1019,1019,30001.620700000785,30014.514419335967,30001.620700000785,30051.40580004081,0.0,1.7008932110636483,1.7008932110636483,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /rest/products/:id,184,184,30002.20290001016,30015.152458692446,30002.20290001016,30054.23869995866,0.0,0.3071289017033477,0.3071289017033477,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /rest/products/search,409,409,30001.733800047077,30014.744080684824,30001.733800047077,30031.99859999586,0.0,0.6826941347645066,0.6826941347645066,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,2214,2214,30001.620700000785,30014.69234105847,30001.620700000785,30054.23869995866,0.0,3.6955618933218033,3.6955618933218033,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
